id;Label;Year;Nationality;Weight
152;Carla Mahieu;1959;Nederlandse;1
153;Ferdi van Dommelen;;;1
154;Vanisha Mittal Bhatia;1981;Indiase;1
155;Michiel Westermann;1952;Nederlandse;1
156;Karnina Rechter;1953;Israelische;1
157;Jan Eggink;;;1
158;Martijn van der Vorm;1958;Nederlandse;1
159;Martin van den Brink;1957;Nederlandse;1
160;Howard Rowe;;;1
161;Rolf-Dieter Schwalb;1952;Duitse;1
162;Jan van Rutte;1950;Nederlandse;1
163;Joop Wijn;1969;Nederlandse;1
164;Rob Routs;1946;Nederlandse;1
165;Rob van Leen;;;1
166;Peter Oosterveer;;;1
167;Peter Sheldon;1941;Britse;1
168;Pascal Visée;1961;Nederlandse;1
169;Johan Danneels;1949;Belgische;1
170;Peter Vrijsen;;;1
171;Maes van Lanschot;;Nederlandse;1
172;Luc Leunis;;;1
173;Jurgen Ernst;1939;Duitse;1
174;Magnus Hall;1959;Zweedse;1
175;Rose-Marie van Leberghe;;;1
176;Jeremy Lewis;1945;Britse;1
177;Pamela Mars-Wright;;Amerikaanse;1
178;Corinne Goddijn-Vigreux;;Franse;1
179;Tom Ehret;1952;Franse;1
180;Eileen Kennedy;1947;Amerikaanse;1
181;Orit Gadiesh;1951;Israelische;1
182;Bibian Mentel;1972;Nederlandse;1
183;Frederic Amar;;Italiaanse;1
184;Alain Ickovics;1959;Belgische;1
185;Rob Fijneman;;Nederlandse;1
186;Mario van Vliet;1962;Nederlandse;1
187;Duco Sickinghe;1958;Nederlandse;1
188;Aad Goudriaan;1959;Nederlandse;1
189;Pim Vermeulen;1947;Nederlandse;1
190;Annemarie Mijer-Nienhuis;;Nederlandse;1
191;David Reed;;;1
192;Loes van Dalen;;Nederlandse;1
193;Herman Hazewinkel;1949;Nederlandse;1
194;Marc van Nuland;1963;Nederlandse;1
195;Marjet van Zuijlen;1967;Nederlandse;1
196;Sven Dumoulin;1970;Nederlandse;1
197;Rob Kreukniet;1962;;1
198;Joerg Gerbig;;Duitse;1
199;Bernadette Langius;1960;Nederlandse;1
200;Harm Meijer;;;1
201;Ronald de Jong;1967;Nederlandse;1
202;Piet Moerland;1949;Nederlandse;1
203;Colin Dyer;;Britse;1
204;Sarah Anne Cecil Russell;1962;Australische;1
205;Bernard Wientjes;1943;Nederlandse;1
206;Henk Volberda;1964;Nederlandse;1
207;Bianca Tetteroo;1969;Nederlandse;1
208;Feng Zhang;;;1
209;Bruno Giannetti;1952;Italiaanse;1
210;Tom Kliphuis;1964;Nederlandse;1
211;Henk Kienhuis;1945;Nederlandse;1
212;Shemaya Levy Chocron;1947;Franse;1
213;Roland Theuws;1967;Nederlandse;1
214;Paul Rosenmöller;1956;Nederlandse;1
215;Claudia Zuiderwijk-Jacobs;1962;Nederlandse;1
216;Hermann-Josef Lamberti;1956;Duitse;1
217;Arjan Huisman;1971;Nederlandse;1
218;John Kruijsser;;;1
219;Marianne van Leeuwen;1961;Nederlandse;1
220;Jan Haars;1951;Nederlandse;1
221;Geert van den Goor;1969;Nederlandse;1
222;Rob Langezaal;1958;Nederlandse;1
223;Roger van Boxtel;1954;Nederlandse;1
224;Henk van der Kwast;1954;Nederlandse;1
225;Karin Bergstein;1967;Nederlandse;1
226;Jan Peter Balkenende;1956;Nederlandse;1
227;Pieter Haasbroek;;Nederlandse;1
228;Barbara Jongerden;1975;;1
229;Michel Plantevin;1956;Franse;1
230;Eric de Macker;;Nederlandse;1
231;Maarten Icking;1973;Nederlandse;1
232;Marina Wyatt;1964;Britse;1
233;Gerrit van der Scheer;;;1
234;Ralph Hoogerhuis;;Nederlandse;1
235;Michael Christner;1972;Duitse;1
236;René Kottman;1945;Nederlandse;1
237;Bernard Bot;1966;Nederlandse;1
238;Antoon Vermeer;1949;Nederlandse;1
239;Yvonne van Rooy;1951;Nederlandse;1
240;Kitty Roozemond;;;1
241;David Hunter;;;1
242;Paul Verhagen;1966;Nederlandse;1
243;Strive Masiyiwa;1961;;1
244;Eric Driebeek;1958;Nederlandse;1
245;Christophe Navarre;1958;Belgische;1
246;Ton Veth;;Nederlandse;1
247;Eugenie van Wiechen;;Nederlandse;1
248;Jacqueline Tammenoms Bakker;1953;Nederlandse;1
249;Erik Vereggen;;Nederlandse;1
250;Merel van Vroonhoven;1968;Nederlandse;1
251;Guy de Selliers de Moranville;1952;Belgische;1
252;Guido Pot;;Nederlandse;1
253;Jan Albers;1952;Nederlandse;1
254;Wiebe Draijer;1966;Nederlandse;1
255;Salman Butt;;Pakistaanse;1
256;Jean Peyrelevade;1939;Franse;1
257;David Simon;;;1
258;Bertrand de Feydeau;;;1
259;Lakshmi Mittal;1950;Indiase;1
260;Linda Galipeau;1963;Canadese;1
261;Rokus van Iperen;1953;Nederlandse;1
262;Helle Valentin;;;1
263;Hein Brand;1955;Nederlandse;1
264;Jolande Sap;1963;Nederlandse;1
265;Bart-Jan van Genderen;1969;Nederlandse;1
266;Margot Scheltema;1954;Nederlandse;1
267;Jan Willem de Heer;1961;Nederlandse;1
268;Hans Pauli;1960;Nederlandse;1
269;Miriam van Dongen;1969;Nederlandse;1
270;Gert-Jan van der Marel;;Nederlandse;1
271;Dieter Schulze;;Zuid-Afrikaanse;1
272;Rolf Deves;1947;Nederlandse;1
273;Job Voorhoeve;1965;Nederlandse;1
274;Andre Goedee;1951;Nederlandse;1
275;Martin Eimers;;Nederlandse;1
276;Charlotte Beekenkamp;;Nederlandse;1
277;Annemiek van Melick;1976;;1
278;Michael Wyllie;1958;Britse;1
279;Eric Urff;1967;Nederlandse;1
