id;Label;Year;Nationality;Weight
640;Marcel Jongmans;;Nederlandse;1
641;Kevin Entricken;;Amerikaanse;1
642;Mischa Simons;;Nederlandse;1
643;Marjan Oudeman;1958;Nederlandse;1
644;Jan Pensaert;;;1
645;Patrick Mispolet;;Franse;1
646;John Lister;;Britse;1
647;Steven Fivel;;;1
648;Dirk (Dick) Verbeek;1950;Nederlandse;1
649;Roelof Joosten;1958;Nederlandse;1
650;Jos Donvil;1953;Belgische;1
651;Wim te Kamp;1945;Nederlandse;1
652;Johan van Driel;;;1
653;Jim Gollan;;;1
654;Paul Sekhri;1958;Amerikaanse;1
655;Robin Spencer;1970;Britse;1
656;Hans Huijbers;1959;Nederlandse;1
657;Eric Goossens;;;1
658;Sicco-Jan van der Meulen;;;1
659;Lineke Sneller;;Nederlandse;1
660;Joop van Oosten;1948;Nederlandse;1
661;Roel Wijmenga;1957;Nederlandse;1
662;Peter Smink;1965;Nederlandse;1
663;Koenraad Dom;;;1
664;Dick Harryvan;1953;Nederlandse;1
665;Angelique Huijben-Pijnenburg;1968;Nederlandse;1
666;Birgit Otto;1963;Nederlandse;1
667;Doug Dunn;1944;Britse;1
668;Ronald Lotgerink;1961;Nederlandse;1
669;Alfred Vos;1969;Nederlandse;1
670;Patricia Russo;1953;Amerikaanse;1
671;Bill McEwan;1956;Canadese;1
672;Youngme Moon;;Amerikaanse;1
673;Bart Aangenendt;1964;Nederlandse;1
674;Jan Maarten de Jong;1945;Nederlandse;1
675;Frits van Delft;;Nederlandse;1
676;Eric Boyer de la Giroday;1952;Belgische;1
677;Mark Heine;1973;Nederlandse;1
678;Pieter de Grauw;;Nederlandse;1
679;Laurence Mulliez;1966;Franse;1
680;Lieve Mostrey;;;1
681;Cheryl Potter;1971;;1
682;Ralph van den Broek;;Nederlandse;1
683;Francis Gugen;1949;Britse;1
684;Evert-Jan Kooistra;1968;Nederlandse;1
685;Marc Gross;1958;Franse;1
686;Alex Mulder;1946;Nederlandse;1
687;Javier Astaburuaga Sanjinés;1959;Mexicaanse;1
688;John Ormerod;1949;Britse;1
689;Jeroen de Haas;1959;Nederlandse;1
690;Ingrid Thijssen;1968;Nederlandse;1
691;Reinier Walta;1974;Nederlandse;1
692;Wolfgang Ziebart;1950;Duitse;1
693;Abhijit Bhattacharya;;Indiase;1
694;Sietze Hepkema;1953;Nederlandse;1
695;Atzo Nicolaï;1960;Nederlandse;1
696;Robert Easton;;Britse;1
697;Erik Thyssen;;;1
698;Erik Hoving;1963;Nederlandse;1
699;Johan Aurik;;Nederlandse;1
700;Edwin Groeneveld;;;1
701;Wim Pelsma;1963;Nederlandse;1
702;Roderick Munsters;1963;Nederlandse;1
703;Jan de Ruiter;;Nederlandse;1
704;Jeroen Kremers;1958;Nederlandse;1
705;Arie van 't Hof;;;1
706;Lan Tang;;;1
707;Jacques de Vaucleroy;1961;Belgische;1
708;Laetitia Juliette Griffith;1965;Nederlandse;1
709;Jaap Tonckens;1962;Nederlandse;1
710;Alexandra Oldroyd;;Britse;1
711;Bas Brouwers;1972;Nederlandse;1
712;Henk Breukink;1950;Nederlandse;1
713;Wietze Reehoorn;1962;Nederlandse;1
714;Karel van Eerd;1938;Nederlandse;1
715;Tex Gunning;1950;Nederlandse;1
716;Jo Maes;;Belgische;1
717;Reinout van Kalleveen;1959;Nederlandse;1
718;Hans van der Aar;1958;Nederlandse;1
719;Han Fennema;1964;Nederlandse;1
720;Jan-Hendrik Erasmus;;Engelse;1
721;Kick van der Pol;1949;Nederlandse;1
722;Adrie van Bragt;1965;Nederlandse;1
723;Harrie Noy;1951;Nederlandse;1
724;Liz Doherty;;Britse;1
725;Jacques Wallage;1946;Nederlandse;1
726;Jitse Groen;1978;Nederlandse;1
727;Henk de Jong;;;1
728;Toon van Hoof;1954;Nederlandse;1
729;Martin Nijkamp;;;1
730;Nina Skorupska;1961;Britse;1
731;Jeroen Drost;1961;Nederlandse;1
732;Hans Stöcker;1964;Duitse;1
733;Abel Slippens;1951;Nederlandse;1
734;Peter Paardekoper;;;1
735;Stan Dessens;1947;Nederlandse;1
736;Oliver Jäger;;Duitse;1
737;Amandus Lundqvist;1945;Nederlandse;1
738;Petri Hofsté;1961;Nederlandse;1
739;Gerben Hettinga;1977;Nederlandse;1
740;John van Vianen;1969;Nederlandse;1
741;Bob de Groot;1956;Nederlandse;1
742;Arthur van Schendel;1964;Nederlandse;1
743;Henk Timmer;1960;Nederlandse;1
744;Marc van Erven;;Nederlandse;1
745;Philip Thomas;;Britse;1
746;Dieter Rampl;1947;Duitse;1
747;Henk Scheepers;1949;Nederlandse;1
748;Ron de Mos;1957;Nederlandse;1
749;Henk Dijkgraaf;1946;Nederlandse;1
750;Irene Asscher-Vonk;1944;Nederlandse;1
751;Charlene Lucille de Carvalho-Heineken;1954;Nederlandse;1
752;Rene van Schooten;;Nederlandse;1
753;Michiel Wolfswinkel;1963;Nederlandse;1
754;Jeroen Simons;;;1
755;Jackson Dunckel;;;1
756;Jaap van Duijn;1943;Nederlandse;1
757;Wim Moerman;1972;Nederlandse;1
758;Robin Wright;;Britse;1
759;Michael de Ridder;1963;Nederlandse;1
760;Henry Holterman;1955;Nederlandse;1
761;Nicolette Zandbergen;;Nederlandse;1
762;Maureen Bal;;;1
763;Martin Sallenhag;;;1
764;Jaap Vink;1947;Nederlandse;1
765;Michael van Kasteren;1961;Nederlandse;1
766;Euleen Goh;1955;Singaporese;1
767;Klaas Knot;1967;Nederlandse;1
768;Hans Fischer;1956;Nederlandse;1
769;Dimitri de Vreeze;1967;Nederlandse;1
770;Kevin Shum;;Britse;1
771;Job Swank;1955;Nederlandse;1
772;Maarten Das;1948;Nederlandse;1
773;Rob Maathuis;1969;Nederlandse;1
774;Rob Brakenhoff;;;1
775;Ulrich Schumacher;1958;Duitse;1
776;Alec Pelmore;1953;Britse;1
777;Harry van Tooren;1947;Nederlandse;1
778;Jan Hommen;1943;Nederlandse;1
779;Clifford Abrahams;;Britse;1
780;Maurice van Tilburg;;Nederlandse;1
781;Jonathan Timmis;1975;Britse;1
782;Liesbeth Kaashoek;;;1
783;Erik Westerink;1961;Nederlandse;1
784;Harry Brekelmans;;Nederlandse;1
785;Marry de Gaay Fortman;1965;Nederlandse;1
786;Hans Wijers;1951;Nederlandse;1
787;Eric Winter;1961;Nederlandse;1
788;Marike van Lier Lels;1959;Nederlandse;1
789;Herman Kok;;Nederlandse;1
790;Astrid Panosyan;;Franse;1
791;Xavier Geismar;;;1
792;Eelco van Eijck;;Nederlandse;1
793;Jan Arie van Barneveld;1950;Nederlandse;1
794;Anja Montijn-Groenewoud;1962;Nederlandse;1
795;Joost Uwents;;;1
796;Yoav Gottesmann;1952;Engelse;1
797;Herna Verhagen;1966;Nederlandse;1
798;Kiran Patel;;;1
799;Jabine van der Meijs;;;1
800;Wim Henk Steenpoorte;1964;Nederlandse;1
801;Barbara Borra;;Italiaanse;1
802;Philippe Vallee;;Franse;1
803;Pim van der Feltz;1964;Nederlandse;1
804;Douglas Grose;;Canadese;1
805;Dieter Penninckx;;Belgische;1
806;Frank Sonnemans;1961;Nederlandse;1
807;Robert Reibestein;1956;Nederlandse;1
808;John Cullen;1964;Engelse;1
809;Harrold van Barlingen;;Nederlandse;1
810;Eric-Jan Vink;1971;Nederlandse;1
811;Blanca Juti;;;1
812;Robbert van Heekeren;;;1
813;Dagmar Kollmann;1964;Oostenrijkse;1
814;Derk Doijer;1949;Nederlandse;1
815;Jesper Theill Eriksen;1968;;1
816;Ramon Fernandez;;;1
817;Lee Hodgkinson;;;1
818;Ruud Joosten;1964;Nederlandse;1
819;Hans Smits;1950;Nederlandse;1
820;Konrad Glund;;Duitse;1
821;Bernard Stuivinga;1956;Nederlandse;1
822;Mark van Lieshout;;;1
823;Fred Paling;1962;Nederlandse;1
824;Marc Calon;1959;Nederlandse;1
825;Jean-Marc Janaillac;1953;Franse;1
826;Caroline Zegers;1964;Nederlandse;1
827;Martin van Pernis;1945;Nederlandse;1
828;Philip Nijenhuis;1945;Nederlandse;1
829;Rogier Sparreboom;;Nederlandse;1
830;Jeroen Tas;1959;Nederlandse;1
831;José Antonio Fernández Carbajal;1954;Mexicaanse;1
832;Inge Lues;;Duitse;1
833;Maarten Douma;;Nederlandse;1
834;Jeff Carr;1961;Britse;1
835;Jos Habets;;Nederlandse;1
836;Einat Oz-Gabber;1971;Nederlandse;1
837;Buford Alexander;1949;Amerikaanse;1
838;Jan Nooitgedagt;1953;Nederlandse;1
839;Olav Padberg;;Nederlandse;1
840;Jan Niessen;1963;Nederlandse;1
841;Godert Vinkesteijn;1966;Nederlandse;1
842;Mijntje Lückerath-Rovers;1968;Nederlandse;1
843;Alexander Wynaendts;1960;Nederlandse;1
844;Hans van Leeuwen;;Nederlandse;1
845;Arne Dehn;1969;Duitse;1
846;Tanja Dik;;Nederlandse;1
847;Pavel Semik;;;1
848;Olivier de Vlam;;Nederlandse;1
849;Walter Wolfs;;Nederlandse;1
850;Frank Elderson;1970;Nederlandse;1
851;Robert van Rede;;;1
852;Evert-Jan van Garderen;;Nederlandse;1
853;Richard Blickman;1954;;1
854;Marc Bienemann;1967;Nederlandse;1
855;Ruud Sondag;1962;Nederlandse;1
856;Greet Prins;1954;Nederlandse;1
857;Carla van der Weerdt-Norder;1964;Nederlandse;1
858;Jackson Tai;1950;Amerikaanse;1
859;Ad Veenhof;1945;Nederlandse;1
860;Gilbert van Hassel;1957;Belgische;1
861;Sander van Deventer;1954;Nederlandse;1
862;Kathleen Steel;1946;Belgische;1
863;Sophie Stabile;1970;Franse;1
864;Sjoerd Eisma;1949;Nederlandse;1
865;Dinnies Johannes von der Osten;;;1
866;Piero Overmars;1964;Nederlandse;1
867;Vincent Germyns;1973;Belgische;1
868;Frank Spaan;;Nederlandse;1
869;Robert van der Meer;1949;Nederlandse;1
870;Marc Engel;1966;Nederlandse;1
871;Simone Brummelhuis;;Nederlandse;1
872;Marc Boumans;1974;Nederlandse;1
873;Engelhardt Robbe;1955;Nederlandse;1
874;Graeme Pitkethly;1968;Britse;1
875;Ron Armstrong;;Amerikaanse;1
876;Eddy Vermeire;;;1
877;Edward Erickson;1947;Amerikaanse;1
878;Jaap Blaak;1941;Nederlandse;1
879;Frits van Hout;1960;Nederlandse;1
880;Christine Poon;1951;Amerikaanse;1
881;Roland Toppen;1970;Nederlandse;1
882;Frank van Kasteren;;;1
883;Adriana Hoppenbrouwer;;;1
884;Arian Kamp;;;1
885;David Pyott;1953;Engelse;1
886;Brice Bouffard;;Amerikaanse;1
887;Wouter Wolffenbuttel;;;1
888;Jesper Brodin;;Zweedse;1
889;José Meijer;1955;Nederlandse;1
890;Guy Soesan;1973;Nederlandse;1
891;Frédéric Gagey;1956;Franse;1
892;Heleen Dura-van Oord;;;1
893;Brian Berkouwer;;Nederlandse;1
894;Jeroen Potjes;1965;Nederlandse;1
895;Gerard Sanderink;1949;Nederlandse;1
896;Ernst-Jan Boers;1966;Nederlandse;1
897;Rijnhard van Tets;1947;Nederlandse;1
898;Petra van Hoeken;1961;Nederlandse;1
899;David Jeffreys;;Britse;1
900;Mark Myslinski;1955;;1
901;Arian Buurman;1966;Nederlandse;1
902;Marjan Rintel;1966;Nederlandse;1
903;Patrick Lammers;1964;Nederlandse;1
904;Marius Cornelis Meurs;1952;Nederlandse;1
905;Mark McGrath;1946;Amerikaanse;1
906;Miriam Klijn;;;1
907;Peter Bommel;1961;Nederlandse;1
908;Chaim Katzman;;;1
909;Huub van der Vrande;1955;Nederlandse;1
910;Eric van Schagen;1956;Nederlandse;1
911;Paul de Koning;1963;Nederlandse;1
912;André Olijslager;1944;Nederlandse;1
913;Maurits Aalders;;Nederlandse;1
914;Preston Feight;;Amerikaanse;1
915;Rien Zwitserloot;1949;Nederlandse;1
916;John Hess;1954;Amerikaanse;1
917;Leo Deuzeman;1952;Nederlandse;1
918;Duco Wildeboer;;;1
919;Carlo de Swart;1941;Nederlandse;1
920;Diederik Karsten;1957;Nederlandse;1
921;Maëlys Castella;1966;Franse;1
922;Lisette van Breugel;;Nederlandse;1
923;Cindy Rombouts;;Nederlandse;1
924;Mark Mooy;;;1
925;Joop van Lunteren;;;1
926;Onno van de Stolpe;1959;Nederlandse;1
927;Jan Derck van Karnebeek;1967;Nederlandse;1
928;Job Dura;;Nederlandse;1
929;Jan van Nieuwenhuizen;1961;Nederlandse;1
930;Pauline Bieringa;1959;Nederlandse;1
931;John Carrafiell;1966;Britse;1
932;Guy Colleau;;;1
933;Meg Whitman;;Amerikaanse;1
934;Joseph Grundfest;1951;Amerikaanse;1
935;Philippe Barril;;Franse;1
936;Sherry Richard;1956;Amerikaanse;1
937;Jan Sundelin;;Zweedse;1
938;Sipko Schat;1960;Nederlandse;1
939;Walter van Damme;1972;Nederlandse;1
940;Harry Bruijniks;1956;Nederlandse;1
941;Jan van den Belt;1946;Nederlandse;1
942;Bart Fillius;;;1
943;Jan Slootweg;1957;Nederlandse;1
944;Ronald Dielwart;;Nederlandse;1
945;Hans Janssen;1967;Nederlandse;1
946;Vincent Moolenaar;;Nederlandse;1
947;Frank Dorjee;1960;Nederlandse;1
948;Wim van den Goorbergh;1948;Nederlandse;1
949;Avi Schnur;1948;Belgische;1
950;Marcel Krom;;Nederlandse;1
951;Rached Dekker;;;1
952;Joep van Beurden;;Nederlandse;1
953;Peter Wennink;1957;Nederlandse;1
954;Paul van Riel;1956;Nederlandse;1
955;Frederic Hervouet;;Franse;1
956;Peter Specht;;Nederlandse;1
957;Nancy McKinstry;1959;Amerikaanse;1
958;Cees van Woudenberg;1948;Nederlandse;1
959;Peter Coebergh;;Nederlandse;1
960;René Oudejans;1961;Nederlandse;1
961;Henk Benjamins;1943;Nederlandse;1
962;Jan Voncken;1956;Nederlandse;1
963;Richard Bruens;1967;Nederlandse;1
964;Bas Feijtel;1967;Nederlandse;1
965;Bruno Lafont;1956;Franse;1
966;Ben Semeijns de Vries van Doesburgh;1957;Nederlandse;1
967;Piet Hilarides;1964;Nederlandse;1
968;Bas Van den Berg;;Nederlandse;1
969;Christophe Barnouin;1968;Franse;1
970;Rob van den Bergh;1950;Nederlandse;1
971;Renee Leurink;;;1
972;Bert ten Doeschot;;Nederlandse;1
973;Herman Hintzen;;Nederlandse;1
974;Wanda van Kerkvoorden;1968;Nederlandse;1
975;Steven ten Have;1967;Nederlandse;1
976;Pamela Boumeester;1958;Nederlandse;1
977;Louise Gunning-Schepers;1951;Nederlandse;1
978;Rudy van der Meer;1945;Nederlandse;1
979;Margot Hoppe;;;1
980;Roland Pirmez;1960;Belgische;1
981;Gino van Ossel;;;1
982;Jeroen Hunfeld;1950;Nederlandse;1
983;Gert van de Weerdhof;1965;Nederlandse;1
984;Dominique Aubernon;;;1
985;Chris Ouwinga;1955;Nederlandse;1
986;Neelam Dhawan;1959;Indiase;1
987;Ian Grice;1953;Britse;1
988;Annemarie van Gaal;1962;Nederlandse;1
989;Ricardo Gutiérrez Muñoz;1943;Mexicaanse;1
990;Paulo de Castro;;Portugese;1
991;Matt Kapusta;;;1
992;Olivier Piou;1958;Franse;1
993;Thessa Menssen;1967;Nederlandse;1
994;Gerrit Zalm;1952;Nederlandse;1
995;Martin Kemper;1968;Nederlandse;1
996;Anneke van der Meer;1964;Nederlandse;1
997;Michel de Carvalho;1944;Britse;1
998;Peter Wakkie;1948;Nederlandse;1
999;Henk ten Hove;1952;Nederlandse;1
1000;Jan Holsboer;1946;Nederlandse;1
1001;Francis Kint;;Belgische;1
1002;Hans Preusting;;Nederlandse;1
1003;John Colligan;1942;Engelse;1
1004;Frank Verhagen;;Nederlandse;1
1005;Arif Karimjee;;Britse;1
1006;Robert van Goethem;;;1
1007;Patrick Alexandre;1956;Franse;1
1008;Heijo Hauser;1956;Duitse;1
1009;Leon van Riet;;Nederlandse;1
1010;Mariëlle de Macker;;Nederlandse;1
1011;Peter Blom;1956;Nederlandse;1
1012;Ludo van Halderen;1946;Nederlandse;1
1013;Maarten Roef;1964;Nederlandse;1
1014;Friedrich Froeschl;;Duitse;1
1015;Annet Aris;1958;Nederlandse;1
1016;Marcel de Groot;;Nederlandse;1
1017;Marc Udink;1958;Nederlandse;1
1018;Reinhard Pusch;1953;Duitse;1
1019;Aad Kuiper;1960;Nederlandse;1
1020;Pim Berendsen;;;1
1021;Falco Valkenburg;;Nederlandse;1
1022;Ronald Merckx;1967;Nederlandse;1
1023;Joost Rijper;1962;Nederlandse;1
1024;Leo Apotheker;1953;Duitse;1
1025;Richard Lubbers;;Nederlandse;1
1026;Patrick Vieu;1964;;1
1027;Francis Blanchelande;1949;Franse;1
1028;Jan Michiel Hessels;1942;Nederlandse;1
1029;Maurice Oostendorp;1956;Nederlandse;1
1030;Jeroen van der Veer;1947;Nederlandse;1
1031;Arjen Soederhuizen;1965;Nederlandse;1
1032;Rolly van Rappard;1960;Nederlandse;1
1033;Jean-Michel Gault;;Franse;1
1034;Bert Ferwerda;1960;Nederlandse;1
1035;Jan Alberts Ter Wisch;;Nederlandse;1
1036;Jo van Engelen;1959;Nederlandse;1
1037;Freek Rijna;1955;Nederlandse;1
1038;Mark van den Burg;;Nederlandse;1
1039;Ron van Oijen;;;1
1040;Peter Blauwhoff;1953;Nederlandse;1
1041;Dirk Goeminne;1955;Belgische;1
1042;Sari Baldauf;1955;Finse;1
1043;Emile Lohman;1947;Nederlandse;1
1044;Frederic Schneider-Maunoury;;Franse;1
1045;Serkan Altuntop;;;1
1046;Lewis Kaden;1942;Amerikaanse;1
1047;Nigel Sheinwald GCMG;1953;Britse;1
1048;Xander Wessels;;;1
1049;Joe Feczko;;Amerikaanse;1
1050;Désirée Theyse;1968;Nederlandse;1
1051;Marten Booisma;1966;Nederlandse;1
1052;Theo Koekkoek;;;1
1053;Jurgen van Breukelen;1969;Nederlandse;1
1054;Jellie Banga;1974;Nederlandse;1
1055;Rob Westerhof;1943;Nederlandse;1
1056;Marc Overmars;1973;Nederlandse;1
1057;Annemiek Fentener van Vlissingen;1961;Nederlandse;1
1058;Franck Terner;1950;Franse;1
1059;Peter Ernsting;1958;Nederlandse;1
1060;Roger Dassen;1965;Nederlandse;1
1061;Pradeep Pant;;Singaporese;1
1062;Carla Smits-Nusteling;1966;Nederlandse;1
1063;Pieter Pijper;1966;;1
1064;Chris Goppelsroeder;;;1
1065;Nicolette Loonen - van Es;1972;Nederlandse;1
1066;Adriaan Roggeveen;1946;Nederlandse;1
1067;Will Chen;;;1
1068;Hans Daniels;1959;Nederlandse;1
1069;Wendy de Ruiter-Lörx;;Nederlandse;1
1070;Antony Burgmans;1947;Nederlandse;1
1071;Ron Teerlink;1961;Nederlandse;1
1072;Pierre Timmermans;1961;Nederlandse;1
1073;Chris Heutink;1962;Nederlandse;1
1074;Onno van Klinken;1969;Nederlandse;1
1075;Walter Hasselkus;1942;Duitse;1
1076;David Binks;;;1
1077;Marjan van Loon;;;1
1078;Todd Fisher;1967;Amerikaanse;1
1079;Ab Pasman;1950;Nederlandse;1
1080;Kyle Quinn;;Amerikaanse;1
1081;Jeroen Visser;;Nederlandse;1
1082;Jacqueline Rijsdijk;1956;Nederlandse;1
1083;Karin Koks;;Nederlandse;1
1084;Dick Sluimers;1953;Nederlandse;1
1085;Reade Griffith;;Amerikaanse;1
1086;Frans Wieringa;;Nederlandse;1
1087;Jolanda Lamse-Minderhoud;1969;Nederlandse;1
1088;Jean-Dominique Comolli;1948;Franse;1
1089;Adrian Bellamy;;;1
1090;Ludo Wijngaarden;1947;Nederlandse;1
1091;Ilonka Jankovich;1963;Hongaarse;1
1092;Karl Guha;1964;Nederlandse;1
1093;René Penning de Vries;;Nederlandse;1
1094;Ben van der Klift;1959;Nederlandse;1
1095;Willem Ledeboer;1964;Nederlandse;1
1096;Ivonne Rietjens;;Nederlandse;1
1097;John Eijgendaal;1964;Nederlandse;1
1098;Lou Brans Brabant;1955;Nederlandse;1
1099;Paul Smits;1963;Nederlandse;1
1100;Pamela Kirby;;Britse;1
1101;Henri Giscard d'Estaing;1956;Franse;1
1102;Jeroen Hoencamp;;;1
1103;Ricardo Kandelman;;;1
1104;Frank Meysman;1952;Belgische;1
1105;Dick Bogaards;1958;Nederlandse;1
1106;Kevin Holt;1958;Amerikaanse;1
1107;Charlotte Lohmann;;;1
1108;Machtelt Groothuis;1970;Nederlandse;1
1109;Marc Croonen;1961;Belgische;1
1110;Reinout van Riel;;Nederlandse;1
1111;Koen Slippens;1967;Nederlandse;1
1112;Steven van Rijswijk;;;1
1113;Frank van Oers;1959;Nederlandse;1
1114;Romain Bausch;1953;Luxemburgse;1
1115;Robert Scully;1950;Amerikaanse;1
1116;Johan van Hall;1960;Nederlandse;1
1117;Joost van Dijk;1968;Nederlandse;1
1118;Bouke Marsman;;;1
1119;Mary Anne Citrino;1959;Amerikaanse;1
1120;Anton Hop;;;1
1121;Guido Dubbeld;1971;Nederlandse;1
1122;Ben Verwaayen;1952;Nederlandse;1
1123;Clara Streit;1968;Duitse;1
1124;Gerrit Kolff;1948;Nederlandse;1
1125;Jan Bruggenthijs;;Nederlandse;1
1126;Elco Brinkman;1948;Nederlandse;1
1127;Jean-François van Boxmeer;1961;Belgische;1
1128;Dorothee van Vredenburch;1964;Nederlandse;1
1129;Judith Hartmann;;Oostenrijkse;1
1130;Bob van Ierland;;Nederlandse;1
1131;Douglas Vicari;1960;;1
1132;Gerard Hoetmer;1956;Nederlandse;1
1133;Hans Pontier;1950;Nederlandse;1
1134;Jesper Erichsen;;;1
1135;Herman Dijkhuizen;1960;Nederlandse;1
1136;Mariëtte Doornekamp-Rijkers;1957;Nederlandse;1
1137;Wilco Jiskoot;1950;Nederlandse;1
1138;Alexandra Schaapveld;1958;Nederlandse;1
1139;Peter van Bommel;1957;Nederlandse;1
1140;Marcel Winkelman;;;1
1141;Bart Karis;1958;Nederlandse;1
1142;Marijn Dekkers;1957;Nederlandse;1
1143;Hein Schumacher;1972;Nederlandse;1
1144;Elly Seinstra;1951;Nederlandse;1
1145;Martijn Kleijwegt;;Nederlandse;1
1146;Marc van Gelder;1961;Nederlandse;1
1147;Janus Smalbraak;;Nederlandse;1
1148;Jeannette Franken;1967;Nederlandse;1
1149;Allard Goldschmeding;1964;Nederlandse;1
1150;Chuck del Prado;1961;Nederlandse;1
1151;Joost Sliepenbeek;1963;Nederlandse;1
1152;Rob Frohn;1960;Nederlandse;1
1153;Rob Harmsen;;Nederlandse;1
1154;Brian Stafford;;Amerikaanse;1
1155;OB Bilous;1938;Amerikaanse;1
1156;Onno Krap;1965;Nederlandse;1
1157;Geraldine Leegwater;1971;Nederlandse;1
1158;Luke Taylor;1968;Britse;1
1159;Marc Diepstraten;;Nederlandse;1
1160;Robert Jan van de Kraats;1960;Nederlandse;1
1161;Mary Harris;1966;Britse;1
1162;Peter Gerretse;1959;;1
1163;Ronald van der Mark;1965;Nederlandse;1
1164;Stuart Chapman;;;1
1165;Wout Dekker;1956;Nederlandse;1
1166;Luc Vandewalle;1944;Belgische;1
1167;Rob Zandbergen;1958;Nederlandse;1
1168;Nienke Meijer;;Nederlandse;1
1169;Erik Bax;;;1
1170;Toine van Laack;1963;Nederlandse;1
1171;Jos Baeten;1958;Nederlandse;1
1172;José Lazeroms;1964;Nederlandse;1
1173;Ben Noteboom;1958;Nederlandse;1
1174;Frank van der Post;1961;Nederlandse;1
1175;Philip Houben;1950;Nederlandse;1
1176;Godfried van Lanschot;1964;Nederlandse;1
1177;Maarten Schönfeld;1949;Nederlandse;1
1178;Tye Burt;1955;Canadese;1
1179;Heinz C. Schimmelbusch;1944;Duitse;1
1180;Sue Clark;;;1
1181;Erik Honee;;Nederlandse;1
1182;Edo van den Assem;1949;Nederlandse;1
1183;Tjeerd Jegen;;Nederlandse;1
1184;Joyce van der Est;1965;Nederlandse;1
1185;Marja van Dieijen-Visser;1954;Nederlandse;1
1186;Ronald van der Vis;1967;Nederlandse;1
1187;Paul Clegg;1960;Britse;1
1188;Mary Ma;1952;Chinese;1
1189;Pier Eringa;1961;Nederlandse;1
1190;Walter Swinkels;1975;Nederlandse;1
1191;Marieke Bax;1961;Nederlandse;1
1192;Rob ter Haar;1950;Nederlandse;1
1193;Egbert van Acht;;;1
1194;Anouk ter Laak;;Nederlandse;1
1195;Hans Kooijmans;;Nederlandse;1
1196;Dick Boer;1957;Nederlandse;1
1197;Stephanie Hottenhuis;1965;Nederlandse;1
1198;Aat Schouwenaar;1946;Nederlandse;1
1199;Rudy Provoost;1959;Belgische;1
1200;Knut Nesse;1967;Noorse;1
1201;Conchita Mulder-Volkers;;;1
1202;Rinse de Jong;1948;Nederlandse;1
1203;Caroline Kievit-Droste;1960;Nederlandse;1
1204;Tjarda Molenaar;1967;Nederlandse;1
1205;Louis Hughes;1949;Amerikaanse;1
1206;Erwin Rexwinkel;;;1
1207;Hendrik Liebers;;Duitse;1
1208;Erwin van Lambaart;1963;Nederlandse;1
1209;Theo de Kool;1952;Nederlandse;1
1210;Philippe Alfroid;1945;Franse;1
1211;Frans van Houten;1960;Nederlandse;1
1212;Yoram Knoop;1969;;1
1213;Victoria Haynes;;Amerikaanse;1
1214;Adrian Hennah;1957;Britse;1
1215;Robert Jenkins;1951;Amerikaanse;1
1216;Henny Hilgerdenaar;1960;Nederlandse;1
1217;Chris Figee;1972;Nederlandse;1
1218;Ko Blok;1949;Nederlandse;1
1219;Joop Drechsel;1955;Nederlandse;1
1220;Jean-Marc Jestin;;Franse;1
1221;Johan Kleyn;1949;Nederlandse;1
1222;Peter Paul de Vries;1967;Nederlandse;1
1223;Hélène Vletter-van Dort;1964;Nederlandse;1
1224;Tanja Cuppen;1969;Nederlandse;1
1225;Charlotte Insinger;1965;Nederlandse;1
1226;Gert-Jan Antvelink;;Nederlandse;1
1227;Frits van Eerd;1967;Nederlandse;1
1228;Maaike Poulussen;;Nederlandse;1
1229;Jurgen Stegmann;1960;Nederlandse;1
1230;Vincent Hulshof;;;1
1231;Jan Sijbrand;1954;Nederlandse;1
1232;Jolanda Poots-Bijl;1969;Nederlandse;1
1233;Richard Jacobs;;;1
1234;Selma Schram-van Winkel;1966;Nederlandse;1
1235;Edwin van der Sar;1970;Nederlandse;1
1236;Peggy Bertha Bruzelius;1949;Zweedse;1
1237;Cornelis Visscher;;;1
1238;Alain Courbebaisse;;;1
1239;Ruud Bergervoet;;Nederlandse;1
1240;Jack de Kreij;1959;Nederlandse;1
1241;Martika Jonk;1959;Nederlandse;1
1242;Edwin Michiels;;Nederlandse;1
1243;Federico Locci;1974;Italiaanse;1
1244;Mona ElNaggar;1968;Britse;1
1245;Sjoerd Vollebregt;1954;Nederlandse;1
1246;Fabrice Mouchel;1970;Franse;1
1247;Robert Bolier;1961;Nederlandse;1
1248;Daan van Knippenberg;1966;Nederlandse;1
1249;Gareth Weston;;;1
1250;Jaap Vessies;;;1
1251;Carlos García Moreno Elizondo;1957;Mexicaanse;1
1252;Frans Muller;1961;Nederlandse;1
1253;Hans Bakker;1951;Nederlandse;1
1254;Jacques van den Broek;1960;Nederlandse;1
1255;Erik van Houwelingen;;;1
1256;Ron Borsboom;;Nederlandse;1
1257;Angelique Paulussen-Hoogakker;;Nederlandse;1
1258;Pieter Verboom;1950;Nederlandse;1
1259;Renier Vree;1964;Nederlandse;1
1260;Willem Bröcker;;Nederlandse;1
1261;Bert Roetert;1956;Nederlandse;1
1262;Jeroen Dijst;1971;;1
1263;Sijmen de Vries;1959;Nederlandse;1
1264;Eric Rondolat;1966;Franse;1
1265;Barth de Klerk;1970;Nederlandse;1
1266;Jan Hendrik Egberts;1958;Nederlandse;1
1267;René de Groot;1969;Nederlandse;1
1268;Yonca Brunini;;Turkse;1
1269;Sander van der Laan;1968;Nederlandse;1
1270;Yen Yen Tan;1965;Singaporese;1
